File,Category,Subcategory,More Accurate/Less Accurate,Cyclomatic Complexity,SLoC,Halstead Distinct Operators,Halstead Distinct Operands,Comments
when-given-the-side-length-of-a-square-and-the-radius-of-a-c.py,mathematics,general,more,3,15,4,10,0
implements-a-function-that-converts-radians-to-degrees.py,mathematics,general,more,1,3,0,0,0
will-find-all-such-numbers-which-are-divisible-by-7-but-are.py,mathematics,general,more,4,5,4,8,0
uses-list-comprehension-to-square-each-odd-number-in-a-list.py,mathematics,general,more,3,2,2,3,0
inverts-a-tuple-representing-an-rgb-value-for-example-the.py,mathematics,general,more,2,2,1,2,0
defines-a-class-with-a-generator-which-can-iterate-the-numb.py,mathematics,general,more,4,6,3,5,0
calculates-and-prints-the-value-according-to-the-given-form.py,mathematics,general,more,3,8,3,12,0
accepts-a-sequence-of-comma-separated-4-digit-binary-number.py,mathematics,general,more,4,7,2,3,0
is-a-calculator-that-takes-an-equation-and-solves-for-x.py,mathematics,algebra,more,1,5,0,0,0
is-a-calculator-to-multiply-any-number-of-matrices.py,mathematics,linear-algebra,more,6,23,3,5,0
is-a-calculator-that-exchanges-matrix-rows.py,mathematics,linear-algebra,more,4,14,3,12,0
is-a-calculator-that-transposes-a-matrix.py,mathematics,linear-algebra,more,4,13,1,2,0
is-a-calculator-that-inverts-a-matrix.py,mathematics,linear-algebra,more,4,13,1,2,0
is-a-calculator-that-multiplies-two-vectors.py,mathematics,linear-algebra,more,4,7,1,2,0
is-a-calculator-that-gets-the-eigenvalues-of-a-matrix.py,mathematics,linear-algebra,more,4,13,1,2,0
is-a-calculator-that-gets-the-rref-of-a-matrix.py,mathematics,linear-algebra,less,4,14,1,2,0
is-a-calculator-that-completes-a-triangle-given-enough-infor.py,mathematics,trig,more,7,38,2,19,0
finds-the-number-of-islands-in-a-graph.py,mathematics,discrete-graphs,more,1,4,0,0,1
deterimes-if-a-small-randomly-generated-graph-is-hamiltonia.py,mathematics,discrete-graphs,less,2,8,0,0,0
finds-the-largest-cycle-in-a-graph.py,mathematics,discrete-graphs,more,3,10,1,2,3
generates-a-random-weighted-graph-and-use-dijkstra-s-algorit.py,mathematics,discrete-graphs,more,3,11,0,0,1
is-is-calculator-that-will-return-the-equation-for-a-tangent.py,mathematics,calculus-calculators,less,1,10,2,4,0
is-is-calculator-that-calculates-the-integral-of-an-equation.py,mathematics,calculus-calculators,more,1,8,0,0,0
is-is-calculator-that-calculates-the-derivative-of-an-equati.py,mathematics,calculus-calculators,more,1,8,0,0,0
is-a-class-that-represents-a-deck-of-cards-with-implemented.py,object-oriented,general,more,4,18,0,0,0
defines-a-class-which-has-at-least-two-methods-1-getstrin.py,object-oriented,general,more,4,10,0,0,0
is-a-flashcard-class-usable-in-other-scripts.py,object-oriented,general,more,6,18,1,6,4
is-a-stack-object-which-can-be-imported-and-used-in-other-py.py,object-oriented,general,more,4,8,1,2,0
is-a-class-that-might-represent-a-student-but-ensure-that-t.py,object-oriented,inheritance-polymorphism-encapsulization,more,7,16,0,0,0
is-a-set-of-classes-modeling-a-bank-account-with-withdraw-an.py,object-oriented,inheritance-polymorphism-encapsulization,more,7,18,3,6,0
is-three-classes-each-with-a-go-method-that-prints-the-cl.py,object-oriented,inheritance-polymorphism-encapsulization,less,6,18,0,0,0
is-a-generic-implementation-of-the-state-design-pattern.py,object-oriented,patterns,more,7,20,0,0,1
is-a-generic-class-that-implements-the-singleton-pattern-in.py,object-oriented,patterns,more,5,16,2,6,2
uses-the-builder-pattern-to-create-a-hamburger-object-out-of.py,object-oriented,patterns,more,25,66,1,9,0
is-an-implementation-of-the-factory-pattern-that-creates-sev.py,object-oriented,patterns,more,7,22,1,4,0
